ID_MAQUINA,MAQUINA,TIPO_MAQUINA,ESTADO,ultimo_reporte,horas_sin_reporte,tipo_alerta,descripcion,umbral_horas,FECHA,LITROS,promedio_litros
015142dd,[EXT-16 RODILLO GHDB23] -  ,EXTERNO,En producción,,,SIN_REPORTE,Nunca ha reportado,24.0,,,
13ab1058,[PF-01] - CRAWLER DRILL RIG,PERFORADORA,En producción,,,SIN_REPORTE,Nunca ha reportado,24.0,,,
1cb6f2ef,[EM-01 Rodillo bomag] -  ,EQUIPO MENOR,En producción,,,SIN_REPORTE,Nunca ha reportado,24.0,,,
1f45f283,[TR-01] - CASE 2166,TRILLADORA,En producción,,,SIN_REPORTE,Nunca ha reportado,24.0,,,
28bcb178,[EXT-03 RETROEXCAVADORA JOHN DEERE DSKH21] - JONH DEERE ,EXTERNO,En producción,,,SIN_REPORTE,Nunca ha reportado,24.0,,,
2c38a2be,[EXT-08 MOTONIVELADORA CZCY60] - KOMATSU ,EXTERNO,En producción,,,SIN_REPORTE,Nunca ha reportado,24.0,,,
4719c837,[B_01] - RANDON 20.m2,BATEA,En producción,,,SIN_REPORTE,Nunca ha reportado,24.0,,,
4bb42302,[G-08] - CUMMINS 350KVA,GENERADOR,En producción,,,SIN_REPORTE,Nunca ha reportado,24.0,,,
4e00a1cc,[CB-04 PXKW57] - VICFER VIC-6,CAMA BAJA,En producción,,,SIN_REPORTE,Nunca ha reportado,24.0,,,
62938beb,[EXT-11 EXCAVADORA 130 JCB] - JCB 130,EXTERNO,En producción,,,SIN_REPORTE,Nunca ha reportado,24.0,,,
65e67b8d,[Número 2] - RANDON Randon,BATEA,En producción,,,SIN_REPORTE,Nunca ha reportado,24.0,,,
716273c8,[EXT-04 RETROEXCAVADORA] -  ,EXTERNO,En producción,,,SIN_REPORTE,Nunca ha reportado,24.0,,,
8ec7dcac,[G-09] - GH POWER 22KVA,EQUIPO MENOR,En producción,,,SIN_REPORTE,Nunca ha reportado,24.0,,,
99be4df5,[EXT-15 RODILLO CAT CS54B] - CATERPILLAR CS54B,EXTERNO,En producción,,,SIN_REPORTE,Nunca ha reportado,24.0,,,
9ce65bb2,[Quemador CI-02] -  ,EQUIPO INTEGRADO,En producción,,,SIN_REPORTE,Nunca ha reportado,24.0,,,
9eb060d9,[EXT-02 EXCAVADORA CAT 320] - CATERPILLAR ,EXTERNO,En producción,,,SIN_REPORTE,Nunca ha reportado,24.0,,,
a142657a,[EXT-12 MOTONIVELADORA  HRJR49] - JONH DEERE 772 HRJR49,EXTERNO,En producción,,,SIN_REPORTE,Nunca ha reportado,24.0,,,
a1c23968,[EXT-17 EXCAVADORA DOSSAN] -  ,EXTERNO,En producción,,,SIN_REPORTE,Nunca ha reportado,24.0,,,
aad3a062,[EF-01] - BERTI EFX MD/SB 140,EQUIPO INTEGRADO,En producción,,,SIN_REPORTE,Nunca ha reportado,24.0,,,
b7415793,[EM-04 RODON DE RASTRE] -  ,EQUIPO MENOR,En producción,,,SIN_REPORTE,Nunca ha reportado,24.0,,,
b7574631,[EXT-06 EXCAVADORA HIDROMEK] -  ,EXTERNO,En producción,,,SIN_REPORTE,Nunca ha reportado,24.0,,,
c56308f2,[EXT-10 MOTONIVELADORA CAT M12 EXTERNO CATERPILLAR M12] - CATERPILLAR M12,EXTERNO,En producción,,,SIN_REPORTE,Nunca ha reportado,24.0,,,
c8766843,[G-11] - CUMMINS 330KVA,GENERADOR,En producción,,,SIN_REPORTE,Nunca ha reportado,24.0,,,
cdbfcdb7,[EM-02 betonera 400 lts] -  ,EQUIPO MENOR,En producción,,,SIN_REPORTE,Nunca ha reportado,24.0,,,
d5cac6e0,[EXT-09 RETROEXCAVADORA SPPP] -  ,EXTERNO,En producción,,,SIN_REPORTE,Nunca ha reportado,24.0,,,
d80ca627,[VH-01] -  VBROHINCADOR,MARTILLO,En producción,,,SIN_REPORTE,Nunca ha reportado,24.0,,,
dc4e3ec4,[EM-03 BETONERA ABONERA] -  ,EQUIPO MENOR,En producción,,,SIN_REPORTE,Nunca ha reportado,24.0,,,
e56407a0,[EXT-13 RODILLO CATERPILLAR CS533E] - CATERPILLAR CS533E,EXTERNO,En producción,,,SIN_REPORTE,Nunca ha reportado,24.0,,,
fa2fdc36,[Batea 01] - RANDON Quiero informar novedades de esta batea .piso roto.portalon cae material.bujes portalón desgastado.botella hidráulica con fuga,BATEA,En producción,,,SIN_REPORTE,Nunca ha reportado,24.0,,,
m000043,[G-06] - CATERPILLAR ,EQUIPO MENOR,En producción,,,SIN_REPORTE,Nunca ha reportado,24.0,,,
m000044,[G-07] - PERKINS ,GENERADOR,En producción,,,SIN_REPORTE,Nunca ha reportado,24.0,,,
m000079,[P-02] - POWERSREEN TURBO CHIEFTAIN 1400,SELECCIONADORA ,En producción,,,SIN_REPORTE,Nunca ha reportado,24.0,,,
m000096,[B-02  JB9039] - RANDON SR BA AB 03 20,BATEA,En producción,,,SIN_REPORTE,Nunca ha reportado,24.0,,,
m000099,[CB-03] - SERVICE TRILERS CB50T,CAMA BAJA,En producción,,,SIN_REPORTE,Nunca ha reportado,24.0,,,
m000103,"[C-03 FSLK53] - NISSAN TERRANO 4X4 2,5cc DOB CAB",CAMIONETA,En producción,,,SIN_REPORTE,Nunca ha reportado,24.0,,,
m000115,"[C-15 KPGT72] - MITSUBISHI L 200 4X2, WORK CR 2,4cc DOB CAB",CAMIONETA,En producción,,,SIN_REPORTE,Nunca ha reportado,24.0,,,
m000116,"[C-13 KPGT73] - MITSUBISHI L 200 4X2, WORK CR 2,4cc DOB CAB",CAMIONETA,En producción,,,SIN_REPORTE,Nunca ha reportado,24.0,,,
m000117,"[C-17 KPGT74] - MITSUBISHI L 200 4X2, WORK CR 2,4cc DOB CAB",CAMIONETA,En producción,,,SIN_REPORTE,Nunca ha reportado,24.0,,,
m000129,[C-30 RWRH50] - JMC VIGUS WOR 4X4,CAMIONETA,En producción,,,SIN_REPORTE,Nunca ha reportado,24.0,,,
m000130,"[C-31  GLLL86] - DODGE RAM1500 4X4 3,0CC AUTOMATICA",CAMIONETA,En producción,,,SIN_REPORTE,Nunca ha reportado,24.0,,,
m000134,[C-35 SCSL76] - JMC VIGUS WOR LX 4X4,CAMIONETA,En producción,,,SIN_REPORTE,Nunca ha reportado,24.0,,,
m000139,[C-41 SDWX22] - FORD RANGER RAPTOR,CAMIONETA,En producción,,,SIN_REPORTE,Nunca ha reportado,24.0,,,
m000142,[C-44 STWW39] - MITSUBISHI L200 ,CAMIONETA,En producción,,,SIN_REPORTE,Nunca ha reportado,24.0,,,
aaf370e6,[G-04] - TOYAMA 33KVA,EQUIPO MENOR,En producción,,,SIN_REPORTE,Nunca ha reportado,24.0,,,
604a3673,[G-05] - KOLVOC 16KVA,EQUIPO MENOR,En producción,,,SIN_REPORTE,Nunca ha reportado,24.0,,,
m000113,"[C-16 KPGT70] - MITSUBISHI L 200 4X2, WORK CR 2,4cc DOB CAB",CAMIONETA,En producción,2026-01-26,1488.0,SIN_REPORTE,Sin reporte hace 1488 hs,24.0,,,
m000127,"[C-27 RTXW59] - GEAT WALL WNGLE 7  2,0T  D 4X4 ELITE",CAMIONETA,En producción,2026-02-02,1320.0,SIN_REPORTE,Sin reporte hace 1320 hs,24.0,,,
1c3365b8,[CT-21 BFTP65] - MERCEDEZ BENZ ,CAMION TOLVA,En producción,2026-02-03,1296.0,SIN_REPORTE,Sin reporte hace 1296 hs,24.0,,,
