ID_MAQUINA,total_litros,num_recargas,promedio_litros_recarga,ultima_recarga,MAQUINA,TIPO_MAQUINA
5442dcf7,647325.2,5442,118.9,2026-03-30 09:31:33.024,[EXTERNO] -  ,EXTERNO
9e53a97a,624948.0,765,816.9,2026-03-30 09:56:26.880,[ESTANQUE MOVIL] -  ,NO APLICA
m000068,48931.0,182,268.9,2026-03-29 12:54:26.784,[EX-16 SJTT92] - KOMATSU PC300LC-8,EXCAVADORA
a273350d,27474.0,31,886.3,2026-03-27 12:12:23.040,[ESTANQUE OBRA] -  ,NO APLICA
m000061,24082.0,88,273.7,2026-03-29 09:36:58.752,[EX-09 RHDP26] - KOMATSU PC300LC-8,EXCAVADORA
aa67222b,21967.0,78,281.6,2026-03-29 12:44:34.080,[EX-10] - KOMATSU PC300LC-8,EXCAVADORA
m000042,18533.0,81,228.8,2026-03-30 08:36:29.088,[G-03] - CUMMINS C440 D5,GENERADOR
55873b1e,16804.0,56,300.1,2026-03-29 09:55:33.312,[EX-21] - JOHN DEERE 350GL,EXCAVADORA
87eb0330,16368.5,426,38.4,2026-03-30 08:06:20.736,[EQUIPO MENOR] -  ,EQUIPO MENOR
391ea9e5,15870.0,76,208.8,2026-03-29 10:37:57.792,[CF-07 HYUNDAI HL770 9S] - HYUNDAI HL770 9S,CARGADOR FRONTAL
85dee624,12037.0,61,197.3,2026-03-27 09:23:47.328,[EX-20] - KOMATSU PC290LC-11E0,EXCAVADORA
m000004,11798.0,43,274.4,2026-03-30 08:43:26.400,[TC-03 RKYD79] - MERCEDEZ BENZ NEW ACTROS 3351,TRACTO CAMION
m000066,11664.0,58,201.1,2026-03-28 14:53:51.072,[EX-14 KFZK38] - KOMATSU PC200LC-8M0,EXCAVADORA
m000063,11355.0,57,199.2,2026-03-25 16:55:54.336,[EX-11 KTRD37] - KOMATSU PC200LC-8MO,EXCAVADORA
m000051,10804.0,80,135.0,2026-03-30 08:45:37.728,[CF-04 DSLH27] - VOLVO L150G,CARGADOR FRONTAL
m000047,10612.2,68,156.1,2026-03-28 16:28:49.152,[BD-03 KSRG22] - JOHN DEERE 850J,BULLDOZER
80f5078d,10476.0,56,187.1,2026-03-27 11:37:11.424,[EX-19 VHTG55] - KOMATSU PC210LC-10M0,EXCAVADORA
a26da00f,10348.0,28,369.6,2026-03-28 12:37:22.944,[CF-10 PYCJ80] - KOMATSU WA 470 - 6A,CARGADOR FRONTAL
8ddbca03,9502.0,52,182.7,2026-03-27 16:04:28.992,[EX-17 SDRZ54] - KOMATSU PC210LC-10H0,EXCAVADORA
