ID_MAQUINA,MAQUINA_TXT,MAQUINA_TIPO,total_horas,dias_activos,ultimo_reporte,total_reportes,promedio_horas_dia
a9c2377c,CT-38 VJGJ12,CAMION TOLVA,1269,82,2026-03-29,155,15.48
38124bea,CT-37 VJGJ10,CAMION TOLVA,1104,72,2026-03-17,134,15.33
m000034,CT-14 RCKP70,TOLVA,1095,76,2026-03-29,140,14.41
m000035,CT-15 RCKP71,TOLVA,965,81,2026-03-28,146,11.91
m000068,EX-16 SJTT92,EXCAVADORA,857,87,2026-03-29,114,9.85
m000061,EX-09 RHDP26,EXCAVADORA,777,85,2026-03-29,110,9.14
d6a975fe,CT-35 VJGH99,CAMION TOLVA,744,86,2026-03-29,87,8.65
m000004,TC-03 RKYD79,TRACTO CAMION,712,80,2026-03-28,107,8.9
aa67222b,EX-10,EXCAVADORA,711,77,2026-03-29,99,9.23
m000042,G-03,GENERADOR,703,71,2026-03-27,80,9.9
80f5078d,EX-19 VHTG55,EXCAVADORA,684,80,2026-03-21,93,8.55
4e79eef0,CT-36 VJGJ11,TOLVA,668,89,2026-03-25,90,7.51
m000066,EX-14 KFZK38,EXCAVADORA,647,76,2026-03-29,88,8.51
4fffdb5b,RXm-09 JOHN DEERE,RETROEXCAVADORA,630,75,2026-03-29,78,8.4
m000028,CT-13 PDSF75,TOLVA,627,95,2026-03-28,98,6.6
m000021,CT-06 BSLY79,TOLVA,622,101,2026-03-25,102,6.16
m000059,EX-07 JRKH82,EXCAVADORA,615,73,2026-03-24,82,8.42
8ddbca03,EX-17 SDRZ54,EXCAVADORA,603,78,2026-03-25,86,7.73
391ea9e5,CF-07 HYUNDAI HL770 9S,CARGADOR FRONTAL,600,77,2026-03-29,78,7.79
m000036,CT-16 RCKP72,TOLVA,591,90,2026-03-27,93,6.57
m000051,CF-04 DSLH27,CARGADOR FRONTAL,590,70,2026-03-27,71,8.43
85dee624,EX-20,EXCAVADORA,585,77,2026-03-28,79,7.6
c0f0efc7,RX-08 JOHN DEERE,RETROEXCAVADORA,571,87,2026-03-28,87,6.56
9b5928af,EX-18 VHTG61,EXCAVADORA,560,79,2026-03-18,80,7.09
m000067,EX-15 THYP52,EXCAVADORA,556,68,2026-03-29,78,8.18
m000063,EX-11 KTRD37,EXCAVADORA,552,70,2026-03-18,74,7.89
